sample_name,delta_rho,needle_diameter,tip_position,roi_window,scale,ds,de,dist_error,s,h_bar,gamma,gamma_err,r0,Bo,Wo,Volume,last_updated
water_in_hexadecane_1a.jpg,224,0.000718,42,"(147, 10, 530, 470)",76402.70592916833,0.0021738070014437625,0.0039003854166666666,2.6177083333333334e-05,0.5573313324767617,1.4599358388860035,0.04878850514067594,0.0018538164905738572,0.0019185505993637847,0.16572869000519336,0.6861758159055387,3.437625340778637e-08,2025-02-25 17:03:43
water_in_hexadecane_1b.jpg,224,0.000718,42,"(147, 10, 530, 470)",75142.59185568377,0.002228249325274775,0.003965793468667256,2.6616063548102385e-05,0.5618672134289434,1.4294266414801315,0.04938451039371976,0.0018667150812839753,0.0019438501634291918,0.1680751518595347,0.712798616194566,3.6146247951521814e-08,2025-02-25 17:03:48
water_in_hexadecane_1c.jpg,224,0.000718,42,"(147, 10, 530, 470)",75142.59185568377,0.0022367001379153283,0.003965793468667255,2.6616063548102385e-05,0.5639981394863193,1.4153893345097779,0.048899542846690215,0.001843946720733753,0.001940553022370089,0.16916671740784586,0.7202816536609074,3.6167024053841725e-08,2025-02-25 17:03:51
water_in_hexadecane_2a.jpg,224,0.000718,42,"(147, 10, 530, 470)",75142.59185568377,0.0022546302811138072,0.003965793468667256,2.6616063548102385e-05,0.5685193389234912,1.3862131087479397,0.0478915487443185,0.0017969177991767728,0.0019600763232012573,0.17622023555913058,0.7370410461382799,3.624567394418003e-08,2025-02-25 17:03:59
water_in_hexadecane_2b.jpg,224,0.000718,42,"(147, 10, 530, 470)",75142.59185568377,0.0022464202328048377,0.003965793468667255,2.6616063548102385e-05,0.5664491231208191,1.3994715556544253,0.04834960786400855,0.0018182393616291447,0.0019450547485049428,0.1718855618577747,0.7298209606403118,3.623388581584057e-08,2025-02-25 17:04:13
water_in_hexadecane_2c.jpg,224,0.000718,42,"(147, 10, 530, 470)",75142.59185568377,0.0022589586834913357,0.003965793468667255,2.6616063548102385e-05,0.5696107730618866,1.3792908322197106,0.04765239464767834,0.0017858188407118894,0.001944778043968993,0.17435084222318756,0.7417352462073504,3.629437059828885e-08,2025-02-25 17:04:16
water_in_hexadecane_3a.jpg,224,0.000718,43,"(147, 10, 530, 470)",75144.1342229708,0.0021925595293129023,0.0039790198275862065,2.6615517241379307e-05,0.5510300587376,1.503793609450554,0.052300896749434785,0.0019952736482248077,0.0019595864759991265,0.1612829378171452,0.6750590079701444,3.6254047148046695e-08,2025-02-25 17:04:31
water_in_hexadecane_3b.jpg,224,0.000718,43,"(147, 10, 530, 470)",75144.1342229708,0.002222399311498029,0.0039790198275862065,2.6615517241379307e-05,0.5585293383285812,1.451793309877894,0.050492362465343055,0.0019093421434169366,0.0019487095115463655,0.1652103352858977,0.6997642814531806,3.628132046800156e-08,2025-02-25 17:04:36
water_in_hexadecane_3c.jpg,224,0.000718,43,"(147, 10, 530, 470)",75144.1342229708,0.002222399311498029,0.0039790198275862065,2.6615517241379307e-05,0.5585293383285812,1.451793309877894,0.050492362465343055,0.0019093421434169366,0.0019487095115463655,0.1652103352858977,0.6997642814531806,3.628132046800156e-08,2025-02-25 17:04:39
water_in_hexadecane_4a.jpg,224,0.000718,69,"(147, 10, 530, 470)",75350.20790440435,0.0021783873458800355,0.003954866327350657,2.6542727029199035e-05,0.5508118772093431,1.5053438608021974,0.05172113275793399,0.0019804509112217646,0.001962087206324328,0.16350734928435032,0.6716956851693995,3.567354012418553e-08,2025-02-25 17:05:40
water_in_hexadecane_4b.jpg,224,0.000718,69,"(147, 10, 530, 470)",76601.6713091922,0.002154831305754206,0.003890254545454546,2.610909090909091e-05,0.5539049644635609,1.4835664034868707,0.04932098272793718,0.001881593756842911,0.001912599758757526,0.1629240381869086,0.6707679375312932,3.3971102344366644e-08,2025-02-25 17:05:43
water_in_hexadecane_4c.jpg,224,0.000718,69,"(147, 10, 530, 470)",76621.85620281781,0.002163630167558492,0.0038892297154899894,2.6102212855637513e-05,0.5563132871635751,1.4669036520112315,0.048741341082655175,0.0018542227269058183,0.001914829984561302,0.16524626751053312,0.6777205236055316,3.39198353152652e-08,2025-02-25 17:05:45
water_in_hexadecane_5a.jpg,224,0.000718,69,"(147, 10, 530, 470)",75330.02301077874,0.00226200808229992,0.004022300643086817,2.6549839228295818e-05,0.5623667356112887,1.4261193538032368,0.05068432002666129,0.001882455517070645,0.001991281267344232,0.17185425358831746,0.726785708631196,3.7825582637868864e-08,2025-02-25 17:05:56
water_in_hexadecane_5b.jpg,224,0.000718,69,"(147, 10, 530, 470)",75330.02301077874,0.0022867711700651503,0.004022300643086816,2.6549839228295818e-05,0.5685231843610337,1.3861886380095396,0.049265181317980196,0.0018172681921260374,0.001978187657127959,0.17448720415355617,0.7471694768623889,3.7797652720932234e-08,2025-02-25 17:05:59
water_in_hexadecane_5c.jpg,224,0.000718,69,"(147, 10, 530, 470)",75390.57769165556,0.002272304367775143,0.004019069879518072,2.6528514056224902e-05,0.5653806566925419,1.4063809693886684,0.04990255587998303,0.0018471670961321845,0.0019772257035770503,0.17209109557685945,0.7362785742067266,3.7728590028716893e-08,2025-02-25 17:06:05
water_in_hexadecane_6a.jpg,224,0.000718,70,"(147, 10, 530, 470)",76502.18861918026,0.0022343159744791083,0.003999885565669701,2.6143042912873864e-05,0.5585949742302232,1.4513489690325665,0.051007692339109845,0.0018835724927341784,0.0019696274314511836,0.16707104395397204,0.708821366645683,3.7125994782895344e-08,2025-02-25 17:06:30
